index,support,phone,email,page
25,Residential and Light Commercial,877-386-2273 opt 2 opt 2,trc@eaton.com,#
26,Sensors,877-386-2273 opt 2 opt 8,TechSupportSensors@Eaton.com,#
27,TVSS,877-386-2273 opt 2 opt 4 opt 2, ,#
28,B-Line,800-851-7415, ,#
29,Cooper Power Systems,877-277-4636, ,#
30,Crouse-Hinds,866-764-5454,CrouseCustomerCTR@Eaton.com,#
31,Lighting Solutions and Controls,800-533-3879,techsupport2@eaton.com,#
32,Wiring Devices,866-853-4293 opt 3, ,#
33,Industrial Control-XT,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/XT-Contactors-and-Starters.aspx
34,Industrial Control-IEC Freedom,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/IEC-Freedom.aspx
35,Industrial Control-NEMA Freedom,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Freedom.aspx
36,Industrial Control-A200,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/A200ContactorsandStarters.aspx
37,Industrial Control-Advantage,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Advantage-Contactors-and-Starters.aspx
38,Industrial Control-Citation,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Citation.aspx
39,Industrial Control-TypeN,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/TypeN(LifeLine).aspx
40,Industrial Control-NEMA IT,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/IT-NEMA.aspx
41,Industrial Control-C30CN,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/C30CN-Lighting.aspx
42,Industrial Control-CN35,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/CN35-Lighting.aspx
43,Industrial Control-A202,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/A202-Lighting.aspx
44,Industrial Control-DP Contactors,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/DP-Contactors-Starters.aspx
45,Industrial Control-Vacuum Contactors,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/VacuumContactorsandStarters.aspx
46,Industrial Control-Shoe Brakes,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Shoe-Brakes.aspx
47,Industrial Control-Solenoids,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Solenoids.aspx
48,Industrial Control-B230,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/B230-B330.aspx
49,Industrial Control,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MST.aspx
50,Industrial Control-B100,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/B100.aspx
51,Industrial Control,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/9441.aspx
52,Industrial Control-C445,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/C445.aspx
53,Industrial Control-C441,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MotorInsightC441.aspx
54,Industrial Control-C440,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/C440.aspx
55,Industrial Control-C306,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Bi-MetallicOverloadRelays.aspx
56,Industrial Control-XTOB,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/XTOverload.aspx
57,Industrial Control-D64,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/D64-Ground-Fault-Relays.aspx
58,Industrial Control-D65,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/D65%20Current%20Monitors.aspx
59,Industrial Control-S811,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/S811+.aspx
60,Industrial Control-S801,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/S801+.aspx
61,Industrial Control-S611,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/S611.aspx
62,Industrial Control-DS6/DS7,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/DS6DS7.aspx
63,Industrial Control-M22,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/M22-Modular-Pushbuttons.aspx
64,Industrial Control-C22,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/C22-Pushbuttons.aspx
65,Industrial Control-E22,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/E22-Pushbuttons.aspx
66,Industrial Control-10250T,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/10250T.aspx
67,Industrial Control-E30,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/E30.aspx
68,Industrial Control-HT800,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/HT800.aspx
69,Industrial Control-SL4/SL7,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/SL4-SL7-Stacklights.aspx
70,Industrial Control-E26,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/E26-Stacklights.aspx
71,Industrial Control-VCBU,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Vehicle-and-Commercial.aspx
72,Industrial Control-Cam Switches,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Cam-Switches.aspx
73,Industrial Control-RMQ16,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/RMQ16.aspx
74,Industrial Control-E10,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/E10.aspx
75,Industrial Control-Pushbutton Stations,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Pushbutton-Stations.aspx
76,Industrial Control-Plugin Relays,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Plug-In-Relays.aspx
77,Industrial Control-9575 Relays,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/9575-Relay.aspx
78,Industrial Control-D15,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/D15-Series.aspx
79,Industrial Control-BF/BFD,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/BF-BFD-Series.aspx
80,Industrial Control-AR/ARD,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/AR-ARD-Series.aspx
81,Industrial Control-D26,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/D26-Series.aspx
82,Industrial Control-Solid State Relays,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Solid-State-Relays.aspx
83,Industrial Control-Timers,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Timers.aspx
84,Industrial Control-XB Terminal Blocks,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/XB-Terminal-Blocks.aspx
85,Industrial Control-Power Distribution Blocks,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Power-Distribution-Blocks.aspx
86,Industrial Control-Power Supplies,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Power-Supplies.aspx
87,Industrial Control-Enclosed Control,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/EnclosedControl.aspx
88,Industrial Control-MCCB Series C,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MCCB-Series-C.aspx
89,Industrial Control-MCCB Series G,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MCCB-Series-G.aspx
90,Industrial Control-Trip Units,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Trip-Units.aspx
91,Industrial Control-NZM,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MCCB-NZM.aspx
92,Industrial Control-FAZ,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MCB-FAZ.aspx
93,Industrial Control-Quicklag,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/MCB-Quicklag.aspx
94,Residential and Light Commercial-CH Loadcenters,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/CH-Loadcenters.aspx
95,Residential and Light Commercial-CH Circuit Breakers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/CH-Circuit-Breakers.aspx
96,Residential and Light Commercial-BR Loadcenters,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/BR-Loadcenters.aspx
97,Residential and Light Commercial-BR Circuit Breakers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/BR-Circuit-Breakers.aspx
98,Residential and Light Commercial-Residential Surge Protection,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Surge-Protection.aspx
99,Residential and Light Commercial-Safety Switches,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/es/NorthAmericanSales-TRC/Pages/General-Heavy-Double-Throw-Switches.aspx
102,Residential and Light Commercial-Elevator Control Switches,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Elevator-Control-Switches.aspx
103,Residential and Light Commercial-Pringle Switches,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Pringle-Switches.aspx
104,Residential and Light Commercial-FDP Switches,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/FDP-Switches.aspx
105,Residential and Light Commercial-Rotary Disconnects,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Rotary-Disconnects.aspx
106,Residential and Light Commercial-AC Disconnects,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/AC-Disconnects.aspx
107,Residential and Light Commercial-Generators,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Generators.aspx
108,Residential and Light Commercial-Transfer Switches,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Transfer-Switches.aspx
109,Residential and Light Commercial-Dry Type Transformers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/VentilatedDryTypeTransformers.aspx
110,Residential and Light Commercial-Encapsulated Transformers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Encapsulated-Transformers.aspx
111,Residential and Light Commercial-Mini Power Centers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Mini-Power-Centers.aspx
112,Residential and Light Commercial-Class I Div 2 Transformers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Class-I-Div-2.aspx
113,Residential and Light Commercial-Buck Boost,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Buck-Boost-Transformers.aspx
114,Residential and Light Commercial-ICT,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/IndustrialControlTransformers.aspx
115,Residential and Light Commercial-Meter Sockets,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Single-Meter-Sockets.aspx
116,Residential and Light Commercial-Meter Breakers,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Meter-Breakers.aspx
117,Residential and Light Commercial-House Panels,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/House-Panels.aspx
118,Residential and Light Commercial-Meter Packs,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Meter-Packs.aspx
119,Residential and Light Commercial-Main Service Modules,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Main-Service-Modules.aspx
120,Residential and Light Commercial-Residential Meter Stacks,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Residential-Meter-Stacks.aspx
121,Residential and Light Commercial-Commercial Meter Stacks,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Commercial-Meter-Stacks.aspx
122,Residential and Light Commercial-Power Pedestals,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/CH-Power-Pedestals.aspx
123,Residential and Light Commercial-Mobile Home Panels,877-386-2273 opt 2 opt 2,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/Mobile-Home-Panels.aspx
124,Industrial Control-ESR5,877-386-2273 opt 2 opt 1,trc@eaton.com,http://teams.etn.com/ES/NORTHAMERICANSALES-TRC/Pages/ESR5SafetyRelays.aspx
125,Automation-XP503,877-386-2273 opt 2 opt 5,trcautomation@eaton,http://teams.etn.com/es/NorthAmericanSales-TRC/Pages/XP-503.aspx
126,Automation-SmartWire,877-386-2273 opt 2 opt 5,trcautomation@eaton,http://teams.etn.com/es/NorthAmericanSales-TRC/Pages/SmartwireDT.aspx
127,Automation-easyRelay,877-386-2273 opt 2 opt 5,trcautomation@eaton,http://teams.etn.com/es/NorthAmericanSales-TRC/Pages/EASYEZMFDRelay.aspx
128,Automation-XI/ON,877-386-2273 opt 2 opt 5,trcautomation@eaton,http://teams.etn.com/es/NorthAmericanSales-TRC/Pages/XIONRemoteIO.aspx
129,Automation-ELC,877-386-2273 opt 2 opt 5,trcautomation@eaton,http://teams.etn.com/es/NorthAmericanSales-TRC/Pages/ELCProgrammableLogicController.aspx
130,Eaton Hydraulics,888-258-0222, ,#
